offerId;variante;conStock;precio;productIds;slugs;tiendas;tipo;arreglaFalsoSinStock;skuYaEnDestino;titulo;url
28669;Negro;si;9990;10114|6772;cabo/clear-gear-heavy|cabo/gear-heavy;2|4;WILDCARD-necesita-juicio;no;si-huerfana-mas-vieja-que-of9006;Heavy Gear -Cabo - Negro;https://astrogrowshop.cl/heavy-gear-cabo?variant=Negro
76819;BLACK;si;9990;10114|6772;cabo/clear-gear-heavy|cabo/gear-heavy;2|4;WILDCARD-necesita-juicio;no;si-huerfana-mas-vieja-que-of9006;Heavy Gear -Cabo - BLACK;https://astrogrowshop.cl/heavy-gear-cabo?variant=BLACK
28670;Transparente;no;9990;10114|6772;cabo/clear-gear-heavy|cabo/gear-heavy;2|4;WILDCARD-necesita-juicio;no;si-huerfana-mas-vieja-que-of76820;Heavy Gear -Cabo - Transparente;https://astrogrowshop.cl/heavy-gear-cabo?variant=Transparente
33397;Negro;no;69990;10680;airistech/herbva-nokiva;3;unico-destino;no;si-huerfana-mas-vieja-que-of92897;Vaporizador Nokiva Kit-Airistech - Negro;https://astrogrowshop.cl/vaporizador-nokiva-kit-airistech?variant=Negro
33396;Blanco;no;69990;10680;airistech/herbva-nokiva;3;unico-destino;no;si-huerfana-mas-vieja-que-of92896;Vaporizador Nokiva Kit-Airistech - Blanco;https://astrogrowshop.cl/vaporizador-nokiva-kit-airistech?variant=Blanco
33398;Rojo;no;69990;10680;airistech/herbva-nokiva;3;unico-destino;no;si-huerfana-mas-vieja-que-of92898;Vaporizador Nokiva Kit-Airistech - Rojo;https://astrogrowshop.cl/vaporizador-nokiva-kit-airistech?variant=Rojo
32478;COSMIC PURPLE;no;11990;10453;calvo/bateria-cartridge-510;3;unico-destino;no;si-huerfana-mas-vieja-que-of12474;Bateria 510 350Mah -Calvo Glass - COSMIC PURPLE;https://astrogrowshop.cl/bateria-510-350mah-calvo-glass?variant=COSMIC%20PURPLE
32479;Negro;no;11990;10453;calvo/bateria-cartridge-510;3;unico-destino;no;si-huerfana-mas-vieja-que-of91573;Bateria 510 350Mah -Calvo Glass - Negro;https://astrogrowshop.cl/bateria-510-350mah-calvo-glass?variant=Negro
32481;Verde;no;11990;10453;calvo/bateria-cartridge-510;3;unico-destino;no;si-huerfana-mas-vieja-que-of91575;Bateria 510 350Mah -Calvo Glass - Verde;https://astrogrowshop.cl/bateria-510-350mah-calvo-glass?variant=Verde
32482;Morado;no;11990;10453;calvo/bateria-cartridge-510;3;unico-destino;no;si-huerfana-mas-vieja-que-of91576;Bateria 510 350Mah -Calvo Glass - Morado;https://astrogrowshop.cl/bateria-510-350mah-calvo-glass?variant=Morado
78127;PURPLE;no;30990;5706;blazy-susan/pre-roll-pink-king-size-3u;3;unico-destino;no;no;Conos Pre Roll King Size Pack 3U-Blazy Susan - PURPLE;https://astrogrowshop.cl/conos-pre-roll-king-size-pack-3u-blazy-susan?variant=PURPLE
32186;Rosa;no;3990;5706;blazy-susan/pre-roll-pink-king-size-3u;3;unico-destino;no;si-huerfana-mas-vieja-que-of78128;Conos Pre Roll King Size Pack 3U-Blazy Susan - Rosa;https://astrogrowshop.cl/conos-pre-roll-king-size-pack-3u-blazy-susan?variant=Rosa
12228;;si;3990;5706;blazy-susan/pre-roll-pink-king-size-3u;3;unico-destino;si;no;Conos Pre Roll King Size Pack 3U-Blazy Susan;https://astrogrowshop.cl/conos-pre-roll-king-size-pack-3u-blazy-susan
32185;Morado;no;30990;5706;blazy-susan/pre-roll-pink-king-size-3u;3;unico-destino;no;no;Conos Pre Roll King Size Pack 3U-Blazy Susan - Morado;https://astrogrowshop.cl/conos-pre-roll-king-size-pack-3u-blazy-susan?variant=Morado
1151;;si;34990;10734;blazy-susan/aluminio-60mm-4-partes;2;unico-destino;no;no;4 Pcs Grinder -Blazy Susan;https://astrogrowshop.cl/4-pcs-grinder-blazy-susan
31025;azul;no;34990;10734;blazy-susan/aluminio-60mm-4-partes;2;unico-destino;no;no;4 Pcs Grinder -Blazy Susan - azul;https://astrogrowshop.cl/4-pcs-grinder-blazy-susan?variant=azul
31028;Rojo;no;34990;10734;blazy-susan/aluminio-60mm-4-partes;2;unico-destino;no;no;4 Pcs Grinder -Blazy Susan - Rojo;https://astrogrowshop.cl/4-pcs-grinder-blazy-susan?variant=Rojo
31026;verde;si;32990;10734;blazy-susan/aluminio-60mm-4-partes;2;unico-destino;no;no;4 Pcs Grinder -Blazy Susan - verde;https://astrogrowshop.cl/4-pcs-grinder-blazy-susan?variant=verde
31024;Rosa;si;34990;10734;blazy-susan/aluminio-60mm-4-partes;2;unico-destino;no;no;4 Pcs Grinder -Blazy Susan - Rosa;https://astrogrowshop.cl/4-pcs-grinder-blazy-susan?variant=Rosa
31027;Morado;si;32990;10734;blazy-susan/aluminio-60mm-4-partes;2;unico-destino;no;no;4 Pcs Grinder -Blazy Susan - Morado;https://astrogrowshop.cl/4-pcs-grinder-blazy-susan?variant=Morado
31192;CHARCOAL;no;49990;5999;slx/ceramic-50mm;5;unico-destino;no;no;Moledor 5Cm -Slx - CHARCOAL;https://astrogrowshop.cl/moledor-5cm-slx?variant=CHARCOAL
